epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,10398.6,1.17783,1.01895,1.28507,0.73465,0.69062,0.72982,0.45811,1.36141,1.03671,1.40465,0.00055188,0.00055188,0.00055188
64,10453,1.15506,1.01238,1.28519,0.7489,0.70333,0.74477,0.47619,1.33553,1.02228,1.3838,0.000537733,0.000537733,0.000537733
65,10507.2,1.14996,0.99783,1.27375,0.76361,0.7044,0.75008,0.47935,1.33826,1.00852,1.37369,0.000523586,0.000523586,0.000523586
66,10561.7,1.1645,1.00174,1.27574,0.74772,0.69353,0.75089,0.48229,1.33236,1.00732,1.37441,0.000509438,0.000509438,0.000509438
67,10616.4,1.15512,1.0141,1.28274,0.76508,0.71844,0.74896,0.47141,1.335,1.00546,1.38544,0.000495291,0.000495291,0.000495291
68,10671.6,1.14408,0.99937,1.27845,0.77859,0.69765,0.75258,0.48228,1.34588,0.99859,1.39264,0.000481144,0.000481144,0.000481144
69,10727,1.14114,0.98852,1.2678,0.74659,0.71605,0.75233,0.48011,1.35406,1.0028,1.38802,0.000466997,0.000466997,0.000466997
70,10782.4,1.1361,0.97641,1.26519,0.75333,0.73386,0.76219,0.48317,1.34784,0.99496,1.39271,0.00045285,0.00045285,0.00045285
71,10837.8,1.13803,0.98308,1.27026,0.74791,0.72418,0.7457,0.478,1.32871,0.99619,1.37006,0.000438703,0.000438703,0.000438703
72,10893.5,1.13849,0.96809,1.26525,0.73576,0.73337,0.74615,0.48272,1.33301,0.99925,1.3698,0.000424556,0.000424556,0.000424556
73,10949.6,1.13063,0.96,1.26196,0.77637,0.72208,0.77063,0.49378,1.32466,0.97651,1.37245,0.000410409,0.000410409,0.000410409
74,11005.7,1.13486,0.9605,1.25547,0.77448,0.70853,0.7432,0.479,1.32387,0.99336,1.36766,0.000396262,0.000396262,0.000396262
75,11062,1.1094,0.9451,1.25248,0.77833,0.72868,0.77184,0.49666,1.31363,0.96851,1.36253,0.000382115,0.000382115,0.000382115
76,11118,1.1065,0.93842,1.24685,0.76761,0.72459,0.76637,0.49637,1.33088,0.97608,1.37703,0.000367967,0.000367967,0.000367967
77,11174.3,1.10581,0.93696,1.2433,0.77575,0.72543,0.76565,0.49444,1.31576,0.97866,1.35876,0.00035382,0.00035382,0.00035382
78,11230.7,1.11072,0.9441,1.24728,0.77269,0.73479,0.76072,0.48737,1.31598,0.98292,1.35959,0.000339673,0.000339673,0.000339673
79,11287.6,1.10564,0.92747,1.23812,0.76499,0.7376,0.76582,0.49413,1.31126,0.95774,1.36101,0.000325526,0.000325526,0.000325526
80,11344.7,1.095,0.91757,1.2411,0.77494,0.72446,0.75613,0.49066,1.32588,0.96417,1.36314,0.000311379,0.000311379,0.000311379
81,11401.3,1.10762,0.93868,1.24298,0.76689,0.74156,0.77222,0.50032,1.31966,0.95156,1.35991,0.000297232,0.000297232,0.000297232
82,11457.8,1.08969,0.91293,1.23498,0.7726,0.73917,0.77211,0.50552,1.31242,0.94961,1.35794,0.000283085,0.000283085,0.000283085
83,11514.2,1.09914,0.91195,1.23756,0.77296,0.73203,0.76868,0.49802,1.32811,0.96206,1.36736,0.000268938,0.000268938,0.000268938
84,11570.5,1.07796,0.89826,1.22776,0.76532,0.72605,0.77363,0.50022,1.31814,0.9594,1.36142,0.000254791,0.000254791,0.000254791
85,11627.2,1.08456,0.90336,1.22686,0.77744,0.72377,0.76659,0.49457,1.31985,0.95386,1.36315,0.000240644,0.000240644,0.000240644
86,11683.9,1.07794,0.90357,1.2282,0.76577,0.72857,0.76908,0.49562,1.32416,0.95775,1.36544,0.000226497,0.000226497,0.000226497
87,11740.2,1.08072,0.90208,1.23011,0.81445,0.69342,0.77457,0.50547,1.32132,0.95423,1.36717,0.000212349,0.000212349,0.000212349
88,11797.4,1.08645,0.88759,1.23066,0.78027,0.72036,0.76519,0.49802,1.32696,0.95676,1.36567,0.000198202,0.000198202,0.000198202
89,11854.2,1.07388,0.88656,1.22324,0.7727,0.73801,0.76623,0.50004,1.316,0.94747,1.36395,0.000184055,0.000184055,0.000184055
90,11911.1,1.071,0.8798,1.22378,0.77061,0.73259,0.76484,0.49706,1.31248,0.9522,1.35644,0.000169908,0.000169908,0.000169908
91,11981.3,1.03476,0.74088,1.1932,0.77545,0.73238,0.76638,0.49738,1.32512,0.94615,1.36672,0.000155761,0.000155761,0.000155761
92,12037.2,1.02492,0.71632,1.19034,0.79144,0.72486,0.77695,0.50752,1.31893,0.95021,1.36084,0.000141614,0.000141614,0.000141614
93,12094.8,1.0151,0.70543,1.17887,0.79806,0.72642,0.78003,0.51126,1.31136,0.93269,1.35615,0.000127467,0.000127467,0.000127467
94,12152,0.9994,0.6928,1.17583,0.79779,0.72315,0.77486,0.50843,1.31159,0.93738,1.35551,0.00011332,0.00011332,0.00011332
95,12209.7,1.00359,0.69119,1.17471,0.79041,0.7292,0.77904,0.51075,1.3156,0.93874,1.366,9.91726e-05,9.91726e-05,9.91726e-05
96,12266.2,1.004,0.69223,1.1755,0.78797,0.74239,0.78182,0.51132,1.31779,0.93875,1.36456,8.50255e-05,8.50255e-05,8.50255e-05
97,12322.8,0.99395,0.67897,1.17122,0.79063,0.73263,0.78338,0.51702,1.31326,0.93083,1.3638,7.08784e-05,7.08784e-05,7.08784e-05
98,12379.3,0.9821,0.67205,1.16884,0.79771,0.72815,0.78269,0.51182,1.31889,0.93039,1.36748,5.67313e-05,5.67313e-05,5.67313e-05
99,12436.2,0.9875,0.67825,1.17475,0.79922,0.73072,0.78308,0.51372,1.32007,0.93347,1.36942,4.25842e-05,4.25842e-05,4.25842e-05
100,12494.3,0.97184,0.67688,1.16049,0.79439,0.73527,0.77718,0.51105,1.31797,0.93379,1.36783,2.84371e-05,2.84371e-05,2.84371e-05
