epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,6010.83,1.08348,0.89165,1.22599,0.79365,0.70772,0.77614,0.50041,1.34082,0.951,1.37494,0.000608468,0.000608468,0.000608468
60,6069.8,1.09377,0.88227,1.2274,0.76655,0.71123,0.75765,0.48881,1.32225,0.95508,1.36791,0.000594321,0.000594321,0.000594321
61,6131.78,1.09104,0.88498,1.22282,0.78179,0.72429,0.77808,0.50705,1.31464,0.93807,1.36617,0.000580174,0.000580174,0.000580174
62,6196.16,1.08513,0.87434,1.22607,0.79245,0.71751,0.7723,0.49774,1.32595,0.95516,1.36899,0.000566027,0.000566027,0.000566027
63,6263.28,1.0906,0.87358,1.21915,0.7625,0.73956,0.77447,0.50163,1.32674,0.95336,1.3743,0.00055188,0.00055188,0.00055188
64,6330.88,1.06281,0.88023,1.2101,0.7389,0.73666,0.75211,0.4793,1.36406,0.95361,1.40373,0.000537733,0.000537733,0.000537733
65,6398.04,1.06394,0.87294,1.21963,0.78112,0.71786,0.77174,0.49369,1.33593,0.94975,1.38314,0.000523586,0.000523586,0.000523586
66,6464.77,1.07935,0.86029,1.21399,0.7806,0.72166,0.77754,0.49316,1.33814,0.93636,1.38067,0.000509438,0.000509438,0.000509438
67,6531.6,1.08481,0.87431,1.21552,0.75838,0.7516,0.77537,0.49329,1.32824,0.93498,1.36639,0.000495291,0.000495291,0.000495291
68,6597.96,1.05928,0.85383,1.21008,0.80544,0.73894,0.79391,0.50882,1.33781,0.93049,1.37314,0.000481144,0.000481144,0.000481144
69,6665.45,1.0651,0.85591,1.21002,0.76196,0.74318,0.76374,0.48817,1.31858,0.92754,1.3641,0.000466997,0.000466997,0.000466997
70,6734.81,1.05266,0.84346,1.20009,0.76656,0.73511,0.77312,0.49318,1.33639,0.93134,1.37142,0.00045285,0.00045285,0.00045285
